,County,State,Date,Price
271,Lake County,CA,6/30/2020,259926
272,Tehama County,CA,6/30/2020,240238
273,Tuolumne County,CA,6/30/2020,291804
274,San Benito County,CA,6/30/2020,640233
275,Calaveras County,CA,6/30/2020,336381
276,Siskiyou County,CA,6/30/2020,216298
277,Amador County,CA,6/30/2020,340593
278,Lassen County,CA,6/30/2020,174508
279,Del Norte County,CA,6/30/2020,259727
280,Glenn County,CA,6/30/2020,239489
281,Colusa County,CA,6/30/2020,240933
282,Plumas County,CA,6/30/2020,278385
283,Inyo County,CA,6/30/2020,356411
284,Mariposa County,CA,6/30/2020,295677
285,Mono County,CA,6/30/2020,467755
286,Trinity County,CA,6/30/2020,278024
287,Modoc County,CA,6/30/2020,129646
288,Sierra County,CA,6/30/2020,241602
289,Alpine County,CA,6/30/2020,428551
290,Los Angeles County,CA,7/31/2020,666544
291,San Diego County,CA,7/31/2020,638576
292,Orange County,CA,7/31/2020,769283
293,Riverside County,CA,7/31/2020,409971
294,San Bernardino County,CA,7/31/2020,375547
295,Santa Clara County,CA,7/31/2020,1201319
296,Alameda County,CA,7/31/2020,881576
297,Sacramento County,CA,7/31/2020,402025
298,Contra Costa County,CA,7/31/2020,720368
299,Fresno County,CA,7/31/2020,273940
300,Kern County,CA,7/31/2020,238985
301,Ventura County,CA,7/31/2020,621281
302,San Francisco County,CA,7/31/2020,1417406
303,San Mateo County,CA,7/31/2020,1375257
304,San Joaquin County,CA,7/31/2020,392678
305,Stanislaus County,CA,7/31/2020,344481
306,Sonoma County,CA,7/31/2020,651350
307,Tulare County,CA,7/31/2020,234398
308,Santa Barbara County,CA,7/31/2020,665798
309,Monterey County,CA,7/31/2020,613431
310,Solano County,CA,7/31/2020,463868
311,Placer County,CA,7/31/2020,527113
312,San Luis Obispo County,CA,7/31/2020,636569
313,Santa Cruz County,CA,7/31/2020,856794
314,Merced County,CA,7/31/2020,287809
315,Marin County,CA,7/31/2020,1193516
316,Butte County,CA,7/31/2020,327220
317,Yolo County,CA,7/31/2020,471606
318,El Dorado County,CA,7/31/2020,497980
319,Shasta County,CA,7/31/2020,281258
320,Imperial County,CA,7/31/2020,249377
321,Kings County,CA,7/31/2020,243236
322,Madera County,CA,7/31/2020,282945
323,Napa County,CA,7/31/2020,707770
324,Humboldt County,CA,7/31/2020,332817
325,Nevada County,CA,7/31/2020,484792
326,Sutter County,CA,7/31/2020,328469
327,Mendocino County,CA,7/31/2020,410220
328,Yuba County,CA,7/31/2020,298019
329,Lake County,CA,7/31/2020,260910
330,Tehama County,CA,7/31/2020,242027
331,Tuolumne County,CA,7/31/2020,291860
332,San Benito County,CA,7/31/2020,645599
333,Calaveras County,CA,7/31/2020,338943
334,Siskiyou County,CA,7/31/2020,217062
335,Amador County,CA,7/31/2020,339405
336,Lassen County,CA,7/31/2020,175007
337,Del Norte County,CA,7/31/2020,259758
338,Glenn County,CA,7/31/2020,241074
339,Colusa County,CA,7/31/2020,242678
340,Plumas County,CA,7/31/2020,279875
341,Inyo County,CA,7/31/2020,359349
342,Mariposa County,CA,7/31/2020,296367
343,Mono County,CA,7/31/2020,469551
344,Trinity County,CA,7/31/2020,279763
345,Modoc County,CA,7/31/2020,130171
346,Sierra County,CA,7/31/2020,241313
347,Alpine County,CA,7/31/2020,428224
348,Los Angeles County,CA,8/31/2020,674103
349,San Diego County,CA,8/31/2020,643903
350,Orange County,CA,8/31/2020,775797
351,Riverside County,CA,8/31/2020,413913
352,San Bernardino County,CA,8/31/2020,379973
353,Santa Clara County,CA,8/31/2020,1226635
354,Alameda County,CA,8/31/2020,890997
355,Sacramento County,CA,8/31/2020,406197
356,Contra Costa County,CA,8/31/2020,731238
357,Fresno County,CA,8/31/2020,277022
358,Kern County,CA,8/31/2020,241167
359,Ventura County,CA,8/31/2020,624692
360,San Francisco County,CA,8/31/2020,1416874
361,San Mateo County,CA,8/31/2020,1384585
362,San Joaquin County,CA,8/31/2020,395907
363,Stanislaus County,CA,8/31/2020,347812
364,Sonoma County,CA,8/31/2020,653186
365,Tulare County,CA,8/31/2020,237426
366,Santa Barbara County,CA,8/31/2020,670339
367,Monterey County,CA,8/31/2020,618457
368,Solano County,CA,8/31/2020,463728
369,Placer County,CA,8/31/2020,531521
370,San Luis Obispo County,CA,8/31/2020,640861
371,Santa Cruz County,CA,8/31/2020,871444
372,Merced County,CA,8/31/2020,290806
373,Marin County,CA,8/31/2020,1212310
374,Butte County,CA,8/31/2020,329952
375,Yolo County,CA,8/31/2020,472727
376,El Dorado County,CA,8/31/2020,505154
377,Shasta County,CA,8/31/2020,284154
378,Imperial County,CA,8/31/2020,253328
379,Kings County,CA,8/31/2020,246599
380,Madera County,CA,8/31/2020,285769
381,Napa County,CA,8/31/2020,715605
382,Humboldt County,CA,8/31/2020,335691
383,Nevada County,CA,8/31/2020,494397
384,Sutter County,CA,8/31/2020,328612
385,Mendocino County,CA,8/31/2020,416662
386,Yuba County,CA,8/31/2020,299591
387,Lake County,CA,8/31/2020,261708
388,Tehama County,CA,8/31/2020,243361
389,Tuolumne County,CA,8/31/2020,292342
390,San Benito County,CA,8/31/2020,652590
391,Calaveras County,CA,8/31/2020,342717
392,Siskiyou County,CA,8/31/2020,218011
393,Amador County,CA,8/31/2020,337535
394,Lassen County,CA,8/31/2020,175672
395,Del Norte County,CA,8/31/2020,259896
396,Glenn County,CA,8/31/2020,242818
397,Colusa County,CA,8/31/2020,244669
398,Plumas County,CA,8/31/2020,281976
399,Inyo County,CA,8/31/2020,363574
400,Mariposa County,CA,8/31/2020,297871
401,Mono County,CA,8/31/2020,471641
402,Trinity County,CA,8/31/2020,281967
403,Modoc County,CA,8/31/2020,130990
404,Sierra County,CA,8/31/2020,240355
405,Alpine County,CA,8/31/2020,428056
